category_name,revenue,freight_cost,freight_percentage
casa_conforto_2,760.27,410.31,53.97
flores,1110.04,488.87,44.04
moveis_colchao_e_estofado,4323.38,1581.37,36.58
artigos_de_natal,8737.84,3190.91,36.52
fraldas_higiene,1500.79,545.40,36.34
cds_dvds_musicais,730.00,224.99,30.82
sinalizacao_e_seguranca,21315.05,6477.54,30.39
eletronicos,155043.93,45679.16,29.46
alimentos_bebidas,14942.88,4394.89,29.41
dvds_blu_ray,4542.59,1227.25,27.02
fashion_esporte,2094.52,563.03,26.88
moveis_sala,67350.70,17694.37,26.27
moveis_cozinha_area_de_servico_jantar_e_jardim,45531.98,11540.99,25.35
bebidas,21529.84,5441.27,25.27
moveis_escritorio,268154.31,67057.05,25.01
alimentos,28731.15,7063.53,24.58
moveis_decoracao,711672.09,168356.92,23.66
utilidades_domesticas,615628.69,142763.56,23.19
moveis_quarto,19051.80,4327.42,22.71
livros_tecnicos,18702.23,4198.84,22.45
telefonia,309762.23,69313.35,22.38
fashion_roupa_feminina,2634.94,583.50,22.14
malas_acessorios,138701.63,30076.49,21.68
fashion_calcados,23001.46,4813.37,20.93
construcao_ferramentas_jardim,25096.28,5187.66,20.67
ferramentas_jardim,470360.28,96631.17,20.54
fashion_bolsas_e_acessorios,149464.39,30577.41,20.46
papelaria,223788.69,45786.36,20.46
artes_e_artesanato,1814.01,370.13,20.40
fashion_underwear_e_moda_praia,9305.95,1854.07,19.92
industria_comercio_e_negocios,38169.81,7555.29,19.79
fashion_roupa_masculina,10452.33,2062.62,19.73
cama_mesa_banho,1023300.77,201751.30,19.72
livros_interesse_geral,45256.25,8871.32,19.60
market_place,27795.77,5318.61,19.13
construcao_ferramentas_iluminacao,39957.00,7490.14,18.75
cine_foto,6674.47,1227.71,18.39
pet_shop,211695.64,38918.56,18.38
artigos_de_festas,4465.19,820.19,18.37
eletrodomesticos,78832.48,14469.30,18.35
esporte_lazer,954626.07,163377.99,17.11
casa_construcao,81407.57,13614.80,16.72
bebes,398487.84,66278.81,16.63
livros_importados,4418.86,732.08,16.57
tablets_impressao_imagem,7528.41,1226.20,16.29
la_cuisine,2054.99,333.55,16.23
informatica_acessorios,888613.62,143990.03,16.20
artes,23657.30,3828.23,16.18
brinquedos,471197.48,75770.18,16.08
,170113.64,26705.29,15.70
automotivo,578849.35,90470.57,15.63
fashion_roupa_infanto_juvenil,519.95,78.72,15.14
seguros_e_servicos,283.29,41.22,14.55
casa_conforto,58008.45,8429.77,14.53
beleza_saude,1233211.61,179001.85,14.52
construcao_ferramentas_construcao,142108.49,20273.52,14.27
perfumaria,390454.45,53041.49,13.58
cool_stuff,609964.13,81407.38,13.35
consoles_games,148003.37,19094.36,12.90
construcao_ferramentas_ferramentas,15903.95,2030.22,12.77
climatizacao,53323.56,6530.99,12.25
musica,6034.35,690.51,11.44
audio,50570.60,5684.72,11.24
instrumentos_musicais,184315.74,17871.38,9.70
construcao_ferramentas_seguranca,38394.22,3712.94,9.67
eletrodomesticos_2,107953.95,10254.57,9.50
pc_gamer,1306.95,123.15,9.42
relogios_presentes,1165898.98,98118.00,8.42
eletroportateis,182444.22,15315.24,8.39
telefonia_fixa,55315.21,4501.33,8.14
agro_industria_e_comercio,70566.10,5637.20,7.99
portateis_cozinha_e_preparadores_de_alimentos,3933.63,294.42,7.48
portateis_casa_forno_e_cafe,46589.56,2656.34,5.70
pcs,218684.14,9665.62,4.42
