week,revenue,prev_week_revenue,wow_growth_percent
201637,134.97,NULL,NULL
201640,34765.84,134.97,25658.20
201641,5559.27,34765.84,-84.01
201651,10.90,5559.27,-99.80
201701,2665.18,10.90,24351.19
201702,9219.87,2665.18,245.94
201703,21811.21,9219.87,136.57
201704,51331.67,21811.21,135.35
201705,66278.05,51331.67,29.12
201706,69483.53,66278.05,4.84
201707,60957.77,69483.53,-12.27
201708,41005.48,60957.77,-32.73
201709,65925.66,41005.48,60.77
201710,73254.89,65925.66,11.12
201711,93336.10,73254.89,27.41
201712,84442.80,93336.10,-9.53
201713,81356.44,84442.80,-3.66
201714,88992.92,81356.44,9.39
201715,58462.99,88992.92,-34.31
201716,78988.54,58462.99,35.11
201717,88725.40,78988.54,12.33
201718,88554.13,88725.40,-0.19
201719,111217.31,88554.13,25.59
201720,117347.12,111217.31,5.51
201721,120361.40,117347.12,2.57
201722,107978.40,120361.40,-10.29
201723,105199.44,107978.40,-2.57
201724,98334.82,105199.44,-6.53
201725,84027.43,98334.82,-14.55
201726,97478.28,84027.43,16.01
201727,106410.52,97478.28,9.16
201728,106899.23,106410.52,0.46
201729,119979.47,106899.23,12.24
201730,107755.03,119979.47,-10.19
201731,116235.94,107755.03,7.87
201732,126116.42,116235.94,8.50
201733,120820.78,126116.42,-4.20
201734,104179.43,120820.78,-13.77
201735,162368.26,104179.43,55.85
201736,141082.82,162368.26,-13.11
201737,153200.60,141082.82,8.59
201738,132001.67,153200.60,-13.84
201739,135219.37,132001.67,2.44
201740,142829.74,135219.37,5.63
201741,145758.64,142829.74,2.05
201742,161242.24,145758.64,10.62
201743,138215.12,161242.24,-14.28
201744,142517.87,138215.12,3.11
201745,148169.00,142517.87,3.97
201746,174580.54,148169.00,17.83
201747,373838.42,174580.54,114.14
201748,278479.80,373838.42,-25.51
201749,222071.81,278479.80,-20.26
201750,190441.95,222071.81,-14.24
201751,138845.85,190441.95,-27.09
201752,96475.05,138845.85,-30.52
201753,158807.34,96475.05,64.61
201801,230407.00,158807.34,45.09
201802,222946.34,230407.00,-3.24
201803,207477.03,222946.34,-6.94
201804,193043.72,207477.03,-6.96
201805,201630.62,193043.72,4.45
201806,187531.34,201630.62,-6.99
201807,201643.11,187531.34,7.53
201808,252281.74,201643.11,25.11
201809,221338.16,252281.74,-12.27
201810,211368.21,221338.16,-4.50
201811,228904.49,211368.21,8.30
201812,195522.16,228904.49,-14.58
201813,227574.58,195522.16,16.39
201814,220205.42,227574.58,-3.24
201815,230918.54,220205.42,4.87
201816,240475.07,230918.54,4.14
201817,231239.20,240475.07,-3.84
201818,286191.81,231239.20,23.76
201819,267149.02,286191.81,-6.65
201820,139151.26,267149.02,-47.91
201821,165689.42,139151.26,19.07
201822,205207.27,165689.42,23.85
201823,227059.61,205207.27,10.65
201824,183019.80,227059.61,-19.40
201825,182789.75,183019.80,-0.13
201826,163589.80,182789.75,-10.50
201827,138011.47,163589.80,-15.64
201828,221072.38,138011.47,60.18
201829,232948.23,221072.38,5.37
201830,266066.57,232948.23,14.22
201831,275787.75,266066.57,3.65
201832,247121.16,275787.75,-10.39
201833,142829.18,247121.16,-42.20
201834,18636.57,142829.18,-86.95
